form	lemma_def	pos	type	src_mot
enfernel	infernal	adjectif	qualificatif	
engignus	engigneux	adjectif	qualificatif	
engignus	ingénieux	adjectif	qualificatif	
englés	anglais	adjectif	qualificatif	
engloys	anglais	adjectif	qualificatif	
engoisseux	angoisseux	adjectif	qualificatif	
engrans	engrant	adjectif	qualificatif	
engrez	engrès	adjectif	qualificatif	
engynous	engigneux	adjectif	qualificatif	
engynous	ingénieux	adjectif	qualificatif	
enlangagiez	enlangagé	adjectif	qualificatif	
enmuree	emmuré	adjectif	qualificatif	
ennode	innodé	adjectif	qualificatif	
ennuieuse	ennuyeux	adjectif	qualificatif	
ennuieuses	ennuyeux	adjectif	qualificatif	
ennuieux	ennuyeux	adjectif	qualificatif	
ennuius	ennuyeux	adjectif	qualificatif	
ennuius	envieux	adjectif	qualificatif	
ennuyeuse	ennuyeux	adjectif	qualificatif	
ennuyeux	ennuyeux	adjectif	qualificatif	
enourable	honorable	adjectif	qualificatif	
enparlés	emparlé	adjectif	qualificatif	
enpenet	empenné	adjectif	qualificatif	
enpennez	empenné	adjectif	qualificatif	
enrumée	enrhumé	adjectif	qualificatif	
ensoigné	ensoigné	adjectif	qualificatif	
ententifment	ententif	adjectif	qualificatif	
ententifment	intentif	adjectif	qualificatif	
ententifment	entendif	adjectif	qualificatif	
ententifz	ententif	adjectif	qualificatif	
ententilz	authentif	adjectif	qualificatif	
ententilz	ententif	adjectif	qualificatif	
ententiue	ententif	adjectif	qualificatif	
ententiue	entendif	adjectif	qualificatif	
ententiue	intentif	adjectif	qualificatif	
entíer	entier	adjectif	qualificatif	
entière	entier	adjectif	qualificatif	
entíers	entier	adjectif	qualificatif	
envïeus	envieux	adjectif	qualificatif	
envieuse	envieux	adjectif	qualificatif	
envïus	envieux	adjectif	qualificatif	
envyeux	envieux	adjectif	qualificatif	
epidimieux	épidimieux	adjectif	qualificatif	
eschevíe	eschevi	adjectif	qualificatif	
eschu	aigu	adjectif	qualificatif	
eschu	acu	adjectif	qualificatif	
escienteus	esciencieux	adjectif	qualificatif	
esclenchie	esclenchi	adjectif	qualificatif	
escocois	écossais	adjectif	qualificatif	
escoulourjans	escolourgeant	adjectif	qualificatif	
escoymous	escoimous	adjectif	qualificatif	
espécial	espécial	adjectif	qualificatif	
especialles	espécial	adjectif	qualificatif	
especiaulz	espécial	adjectif	qualificatif	
esperitex	espirital	adjectif	qualificatif	
esperitex	hespéride	adjectif	qualificatif	
esperituel	espirituel	adjectif	qualificatif	
esperituele	espirituel	adjectif	qualificatif	
espès	épais	adjectif	qualificatif	
espetiale	espécial	adjectif	qualificatif	
espiritable	espiritable	adjectif	qualificatif	
espirituelle	espirituel	adjectif	qualificatif	
espirituelz	espirituel	adjectif	qualificatif	
espiritueulx	espirituel	adjectif	qualificatif	
espiritz	esperit	adjectif	qualificatif	
espoentable	épouvantable	adjectif	qualificatif	
espouantable	épouvantable	adjectif	qualificatif	
espoventable	épouvantable	adjectif	qualificatif	
espoventables	épouvantable	adjectif	qualificatif	
esseuléz	esseulé	adjectif	qualificatif	
estabile	stabile	adjectif	qualificatif	
estaunc	étanche	adjectif	qualificatif	
estivals	estival	adjectif	qualificatif	
estoz	estout	adjectif	qualificatif	
estraunge	étrange	adjectif	qualificatif	
estreiz	étroit	adjectif	qualificatif	
estret	étroit	adjectif	qualificatif	
estroictes	étroit	adjectif	qualificatif	
estudieuse	étudieux	adjectif	qualificatif	
estuffee	étoffé	adjectif	qualificatif	
etherien	éthérien	adjectif	qualificatif	
etherien	éthéré	adjectif	qualificatif	
ethiques	éthique	adjectif	qualificatif	
ethiques	étique	adjectif	qualificatif	
etiam	hétien	adjectif	qualificatif	
etree	estrayer	adjectif	qualificatif	
eüré	heuré	adjectif	qualificatif	
euree	heuré	adjectif	qualificatif	
eureulx	heureux	adjectif	qualificatif	
eüreus	heureux	adjectif	qualificatif	
eureuse	heureux	adjectif	qualificatif	
eüreuse	heureux	adjectif	qualificatif	
eureuses	heureux	adjectif	qualificatif	
eüreusse	heureux	adjectif	qualificatif	
eureux	heureux	adjectif	qualificatif	
eüreux	heureux	adjectif	qualificatif	
eureuz	heureux	adjectif	qualificatif	
eüreuz	heureux	adjectif	qualificatif	
evesqual	evesqual	adjectif	qualificatif	
ewels	égal	adjectif	qualificatif	
ewus	eaueux	adjectif	qualificatif	
excellens	excellent	adjectif	qualificatif	
excerlent	excellent	adjectif	qualificatif	
excerlente	excellent	adjectif	qualificatif	
excoimous	escoimous	adjectif	qualificatif	
